,Dataset,Model,Layer,Iteration,Accuracy
474,EventsAdapt,bert-large-cased,23,5,0.8589743589743589
475,EventsAdapt,bert-large-cased,23,6,0.8205128205128205
476,EventsAdapt,bert-large-cased,23,7,0.717948717948718
477,EventsAdapt,bert-large-cased,23,8,0.782051282051282
478,EventsAdapt,bert-large-cased,23,9,0.8141025641025641
479,EventsAdapt,bert-large-cased,23,10,0.8205128205128205
480,EventsAdapt,bert-large-cased,24,1,0.7948717948717948
481,EventsAdapt,bert-large-cased,24,2,0.7564102564102564
482,EventsAdapt,bert-large-cased,24,3,0.7564102564102564
483,EventsAdapt,bert-large-cased,24,4,0.75
484,EventsAdapt,bert-large-cased,24,5,0.7435897435897436
485,EventsAdapt,bert-large-cased,24,6,0.7884615384615384
486,EventsAdapt,bert-large-cased,24,7,0.7948717948717948
487,EventsAdapt,bert-large-cased,24,8,0.8333333333333334
488,EventsAdapt,bert-large-cased,24,9,0.7692307692307693
