"Model","TrialType","term","estimate","std.error","statistic","p.value","pValAdjusted","pLabel","pValFinal"
"RoBERTa","TrainOn:AAN-TestOn:AAN","LayerGroupmid:cLayerWithinGroup",0.0280868437118437,0.00311951319310193,9.00359830948979,5.40069855579847e-17,2.46889076836502e-16,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AAN","LayerGrouplate:cLayerWithinGroup",0.00200702075702075,0.00311951319310193,0.643376268277629,0.520562701047325,0.711299349538868,"","0.711"
"RoBERTa","TrainOn:AAN-TestOn:AAR","(Intercept)",0.850367647058822,0.0332249623410088,25.5942396060817,3.65728583966072e-72,3.77526280223042e-72,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AAR","LayerGroupearly",-0.35737428055799,0.0350221853903025,-10.2042255951551,1.06250982885189e-20,1.17242463873312e-20,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AAR","LayerGroupmid",-0.455265035118525,0.0352403942639927,-12.918840569945,1.16148004542057e-29,1.95617691860307e-29,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AAR","LayerGrouplate",-0.47163630377524,0.0352403942639926,-13.3834003173211,3.0212616050284e-31,6.0425232100568e-31,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AAR","LayerGroupearly:cLayerWithinGroup",0.0247947761194029,0.00428932419416987,5.78057871053544,2.18364311526812e-08,2.7950631875432e-08,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AAR","LayerGroupmid:cLayerWithinGroup",-0.0080001776830135,0.00512672299158202,-1.56048565451062,0.119895134183696,0.159860178911594,"","0.16"
"RoBERTa","TrainOn:AAN-TestOn:AAR","LayerGrouplate:cLayerWithinGroup",0.00649431414356787,0.00512672299158202,1.26675737195698,0.206406984005648,0.47178739201291,"","0.472"
"RoBERTa","TrainOn:AAN-TestOn:AI","(Intercept)",0.977906976744186,0.0129763347561713,75.3608006512867,2.46503243649805e-175,7.17100345163068e-175,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AI","LayerGroupearly",-0.417967740633072,0.0136782578367689,-30.5570888939907,6.92660278297059e-87,2.46279210061177e-86,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AI","LayerGroupmid",-0.332106195494186,0.0137634814515531,-24.1295196032476,1.45747380095517e-67,5.8298952038207e-67,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AI","LayerGrouplate",-0.153053461119186,0.0137634814515531,-11.1202577384165,1.18989188094619e-23,2.11536334390433e-23,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AI","LayerGroupearly:cLayerWithinGroup",0.00930989583333318,0.00167523761351546,5.55735840588996,6.93495697972925e-08,8.21920827227171e-08,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AI","LayerGroupmid:cLayerWithinGroup",0.0474423363095238,0.00200229192310675,23.6940157236974,3.57525137245328e-66,1.14408043918505e-64,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AI","LayerGrouplate:cLayerWithinGroup",-0.0108770461309524,0.00200229192310675,-5.43229786098101,1.30596158598919e-07,1.25799923888114e-06,"***","<0.001"
"RoBERTa","TrainOn:AI-TestOn:AAN","(Intercept)",0.73076923076923,0.00486565095699448,150.189406767605,2.48080783580645e-249,1.98464626864516e-248,"***","<0.001"
"RoBERTa","TrainOn:AI-TestOn:AAN","LayerGroupearly",-0.216255880209367,0.00512884644116015,-42.1646237005392,2.00423938362609e-116,1.2827132055207e-115,"***","<0.001"
"RoBERTa","TrainOn:AI-TestOn:AAN","LayerGroupmid",-0.168172331544425,0.00516080217986643,-32.5864711886277,1.59104412658373e-92,1.01826824101359e-91,"***","<0.001"
"RoBERTa","TrainOn:AI-TestOn:AAN","LayerGrouplate",-0.128928145497913,0.00516080217986642,-24.9821909471542,2.96193100334968e-70,1.35402560153128e-69,"***","<0.001"
"RoBERTa","TrainOn:AI-TestOn:AAN","LayerGroupearly:cLayerWithinGroup",-0.00127260981912145,0.000628152837496594,-2.02595569605837,0.0438188032645898,0.0438188032645898,"*","0.044"
"RoBERTa","TrainOn:AI-TestOn:AAN","LayerGroupmid:cLayerWithinGroup",0.0104928017718715,0.000750786242410507,13.9757512580184,2.79796340147933e-33,2.98449429491128e-32,"***","<0.001"
"RoBERTa","TrainOn:AI-TestOn:AAN","LayerGrouplate:cLayerWithinGroup",0.00566629752676264,0.000750786242410507,7.54715151488416,8.03946573948735e-13,2.57262903663595e-11,"***","<0.001"
"RoBERTa","TrainOn:AI-TestOn:AAR","(Intercept)",0.989338235294115,0.0415390646509344,23.8170561520301,1.44438074908246e-66,1.44438074908246e-66,"***","<0.001"
"RoBERTa","TrainOn:AI-TestOn:AAR","LayerGroupearly",-0.682829114232753,0.0437860187233131,-15.5946837402048,7.04462644032351e-39,1.07346688614453e-38,"***","<0.001"
